id,cat,name,price,inStock,author,series_t,sequence_i,genre_s
553573403,book,A Game of Thrones,7.99,TRUE,George R.R. Martin,A Song of Ice and Fire,1,fantasy
553579908,book,A Clash of Kings,7.99,TRUE,George R.R. Martin,A Song of Ice and Fire,2,fantasy
055357342X,book,A Storm of Swords,7.99,TRUE,George R.R. Martin,A Song of Ice and Fire,3,fantasy
553293354,book,Foundation,7.99,TRUE,Isaac Asimov,Foundation Novels,1,scifi
812521390,book,The Black Company,6.99,FALSE,Glen Cook,The Chronicles of The Black Company,1,fantasy
812550706,book,Ender's Game,6.99,TRUE,Orson Scott Card,Ender,1,scifi
441385532,book,Jhereg,7.95,FALSE,Steven Brust,Vlad Taltos,1,fantasy
380014300,book,Nine Princes In Amber,6.99,TRUE,Roger Zelazny,the Chronicles of Amber,1,fantasy
805080481,book,The Book of Three,5.99,TRUE,Lloyd Alexander,The Chronicles of Prydain,1,fantasy
080508049X,book,The Black Cauldron,5.99,TRUE,Lloyd Alexander,The Chronicles of Prydain,2,fantasy
